x,y
4.05,1.99654024043513e-07
4.06,2.05856743046915e-07
4.07,2.12232335305926e-07
4.08,2.18785045530561e-07
4.09,2.25519207801692e-07
4.1,2.32439247113124e-07
4.11,2.39549680933516e-07
4.12,2.4685512078834e-07
4.13,2.54360273861993e-07
4.14,2.6206994462021e-07
4.15,2.69989036452922e-07
4.16,2.78122553337685e-07
4.17,2.86475601523845e-07
4.18,2.95053391237543e-07
4.19,3.0386123840773e-07
4.2,3.12904566413294e-07
4.21,3.22188907851478e-07
4.22,3.31719906327677e-07
4.23,3.41503318266785e-07
4.24,3.5154501474619e-07
4.25,3.61850983350598e-07
4.26,3.7242733004875e-07
4.27,3.83280281092226e-07
4.28,3.94416184936421e-07
4.29,4.05841514183842e-07
4.3,4.17562867549837e-07
4.31,4.29586971850909e-07
4.32,4.41920684015686e-07
4.33,4.5457099311874e-07
4.34,4.67545022437312e-07
4.35,4.80850031531107e-07
4.36,4.94493418345236e-07
4.37,5.08482721336482e-07
4.38,5.22825621622941e-07
4.39,5.37529945157215e-07
4.4,5.52603664923177e-07
4.41,5.68054903156565e-07
4.42,5.8389193358935e-07
4.43,6.00123183718131e-07
4.44,6.16757237096548e-07
4.45,6.33802835651905e-07
4.46,6.51268882026063e-07
