Corso Agnelli(TO)    ,Corso Belgio(TO)     ,Corso Einaudi(TO)    ,Corso Francia(TO)    ,Corso Giambone(TO)   ,Corso Galileo Ferraris(TO) ,Corso Giulio Cesare(TO) ,aggregated
0.0288               ,0.05039999999999999  ,0.0144               ,0.0648               ,0.0396               ,      0.018                ,   0.0612               ,0.27719999999999995
0.036                ,0.0396               ,0.0072               ,0.0612               ,0.0576               ,      0.010799999999999999 ,   0.0576               ,0.26999999999999996
0.054                ,0.05039999999999999  ,0.010799999999999999 ,0.08639999999999999  ,0.0396               ,      0.025199999999999997 ,   0.0612               ,0.3276
0.0468               ,0.0576               ,0.021599999999999998 ,0.0468               ,0.0936               ,      0.021599999999999998 ,   0.0792               ,0.3672
0.0756               ,0.025199999999999997 ,0.0324               ,0.1152               ,0.10079999999999999  ,      0.021599999999999998 ,   0.09                 ,0.4608
0.10079999999999999  ,0.08639999999999999  ,0.05039999999999999  ,0.1152               ,0.14759999999999998  ,      0.021599999999999998 ,   0.1224               ,0.6444
0.05039999999999999  ,0.072                ,0.036                ,0.0936               ,0.20159999999999997  ,      0.025199999999999997 ,   0.1368               ,0.6156
0.09720000000000001  ,0.0396               ,0.036                ,0.11879999999999999  ,0.10439999999999999  ,      0.0468               ,   0.144                ,0.5868
0.1116               ,0.126                ,0.0288               ,0.1224               ,0.18359999999999999  ,      0.0288               ,   0.162                ,0.7632
0.1116               ,0.05039999999999999  ,0.05039999999999999  ,0.1224               ,0.198                ,      0.0468               ,   0.1692               ,0.7488
0.10439999999999999  ,0.10079999999999999  ,0.0648               ,0.1368               ,0.2304               ,      0.043199999999999995 ,   0.17279999999999998  ,0.8532000000000001
0.10439999999999999  ,0.126                ,0.0576               ,0.198                ,0.18359999999999999  ,      0.0792               ,   0.18                 ,0.9288000000000001
0.1116               ,0.1368               ,0.0684               ,0.1584               ,0.1692               ,      0.05039999999999999  ,   0.2124               ,0.9072000000000001
0.1152               ,0.1368               ,0.0828               ,0.1908               ,0.2592               ,      0.054                ,   0.20159999999999997  ,1.0404
0.1656               ,0.1872               ,0.0828               ,0.198                ,0.27                 ,      0.072                ,   0.20159999999999997  ,1.1771999999999998
0.1764               ,0.2556               ,0.0576               ,0.2844               ,0.3168               ,      0.1152               ,   0.2772               ,1.4832
0.1908               ,0.2736               ,0.1116               ,0.3024               ,0.46799999999999997  ,      0.10079999999999999  ,   0.32039999999999996  ,1.7676
0.18                 ,0.2736               ,0.072                ,0.2916               ,0.288                ,      0.10439999999999999  ,   0.3528               ,1.5624
0.198                ,0.2232               ,0.162                ,0.27                 ,0.40319999999999995  ,      0.14759999999999998  ,   0.414                ,1.818
0.2196               ,0.3384               ,0.17279999999999998  ,0.378                ,0.4788               ,      0.11879999999999999  ,   0.36360000000000003  ,2.07
0.2772               ,0.3996               ,0.1764               ,0.41759999999999997  ,0.3528               ,      0.2232               ,   0.4068               ,2.2536
0.2844               ,0.36719999999999997  ,0.1692               ,0.48240000000000005  ,0.36719999999999997  ,      0.1404               ,   0.3852               ,2.1959999999999997
0.2844               ,0.2808               ,0.2556               ,0.4932               ,0.5292               ,      0.14759999999999998  ,   0.44999999999999996  ,2.4408000000000003
0.2664               ,0.36                 ,0.2232               ,0.5436               ,0.4788               ,      0.14759999999999998  ,   0.4392               ,2.4588
0.3132               ,0.32039999999999996  ,0.3168               ,0.4104               ,0.396                ,      0.2448               ,   0.4068               ,2.4084
0.2664               ,0.3348               ,0.1908               ,0.5148               ,0.4536               ,      0.2664               ,   0.4572               ,2.4839999999999995
0.36                 ,0.3852               ,0.3132               ,0.40319999999999995  ,0.4356               ,      0.23399999999999999  ,   0.40319999999999995  ,2.5343999999999998
0.2628               ,0.36                 ,0.2232               ,0.4356               ,0.3384               ,      0.24120000000000003  ,   0.48240000000000005  ,2.3436000000000003
0.2988               ,0.2448               ,0.2808               ,0.3816               ,0.6516               ,      0.2124               ,   0.4608               ,2.5307999999999997
0.2448               ,0.39239999999999997  ,0.24120000000000003  ,0.47519999999999996  ,0.54                 ,      0.2232               ,   0.4392               ,2.5560000000000005
0.2232               ,0.288                ,0.2664               ,0.5832               ,0.4932               ,      0.20879999999999999  ,   0.46799999999999997  ,2.5308
0.2124               ,0.3384               ,0.2268               ,0.5724               ,0.40319999999999995  ,      0.162                ,   0.4248               ,2.34
0.2988               ,0.36                 ,0.24839999999999998  ,0.48240000000000005  ,0.54                 ,      0.1512               ,   0.396                ,2.4768
0.2124               ,0.34559999999999996  ,0.2844               ,0.432                ,0.4644               ,      0.20879999999999999  ,   0.4572               ,2.4048
0.29519999999999996  ,0.2628               ,0.2592               ,0.486                ,0.4464               ,      0.2736               ,   0.41759999999999997  ,2.4408000000000003
0.1512               ,0.306                ,0.2664               ,0.396                ,0.2304               ,      0.2124               ,   0.4248               ,1.9872
0.2988               ,0.32039999999999996  ,0.27                 ,0.36360000000000003  ,0.4932               ,      0.19440000000000002  ,   0.3348               ,2.2752
